Politikbereich,Zweck
Gleichstellung,Frauenladen - Projekt 9 - 01/07/2020 - 30/06/2021
Integration,Förderung der Arbeitsmarktintegration zugewanderter Menschen
Jugend,Körper und Seele
Soziales,Interkulturelle Öffnung
Soziales,Soziale Integration von VietnamesInnen in Treptow-Köpenick
Soziales,Spätaussiedlerberatung und Migranten-Seniorenarbeit
Integration,Föderung der Arbeitsmarktintegration zugewanderter Menschen
Frauen,Frauenladen - Kurs 1 - 01/072016 - 30/06/2017 - Prüfung Juni 2017
Frauen,Frauenladen 1
Frauen,Frauenladen 2
Jugend,Berufliche Qualifizierung
Jugend,"Mietkostenzuschuss ""Nachschlag"""
Jugend,NACHSCHLAG -Berufliche Qualifizierung sozial benachteiligter Jugendlicher
Bildung,Erfüllung der von der Einrichtung beantragten Anschubfinanzierung f. Gründung eines bezirkl. Alphabündnisses Berlin Charottenburg-Wilmersdorf
Familie,FLAT FAMILY - Stadtteilmütter
Gleichstellung,Frauen BQB Land - zusätzliche Landesmittel
Gleichstellung,Frauen Existenzgründungskurse - Goldrausch Künstlerinnenprojekt
Gleichstellung,Frauen OuQ - Frauenladen - Kurs 1 - 01/072016 - 30/06/2017 - Prüfung Juni 2017
Gleichstellung,Frauen OuQ - Frauenladen - Kurs 2 - 01/01/2017 - 31/12/2017 Prüfung November 2017
Gleichstellung,Frauen OuQ - Frauenladen - Kurs 3 - 01/07/2017 - 30/06/2018 - Prüfung Juni 2018
Gleichstellung,Frauenladen - Kurs 3 - 01/07/2017 - 30/06/2018 - Prüfung Juni 2018
Gleichstellung,Frauenladen -Projekt 4 - 01/01/2018 - 31/12/2018
Gleichstellung,Frauenladen - Projekt 5 - 01/07/2018 - 30/06/2019
Gleichstellung,Frauenladen
Gleichstellung,Frauenladen - Projekt 6 - 01/01/2019 - 31/12/2019
Gleichstellung,Frauenladen_Finanzierung von Kosten während unterrichtsfreier Zeit 2021
Verkehr,Beschaffung (e-)Lastenrad
Arbeit,Landeszuschuss für KMU - Lohnkostenzuschuss für Acar & Batur Lebensmittel OHG
Forschung,Institutionelle Förderung im Rahmen der Gemeinschaftsfinanzierung
Wirtschaft,Konzeptionierung und Umsetzung eines Auktionsmechanismus sowie eines Reportingsystems für Risiko- und Compliance-Monitoring
Wirtschaft,"Konzeptionierung, Umsetzung und Dokumentation eines Pricing-Mechanismus"
Wirtschaft,"Analyse, Entwicklung und Erprobung der Blockchain-Technologie"
Wirtschaft,Entwicklung einer Debt Capital Markets (DCM) Plattform_1
Wirtschaft,Entwicklungsunterstützung einer Debt Capital Markets (DCM) Plattform_2
Wirtschaft,Planung und Entwicklung eines Preismodells spezifisch für KMU (kleine und mittelständige Unternehmen)-Kredite.
Arbeit,Landeszuschuss für KMU - Lohnkostenzuschuss für Accelero Bioanalytics GmbH
Arbeit,Lohnkostenzuschuss für Accelero Bioanalytics GmbH
Wirtschaft,"Internationale Tour ""Handmade in Germany"" in New York vom 20. -23.05.2018"
Verkehr,Mobileo
Verkehr,Abgefahren
Verkehr,Mobililli und der UmweltTiger
Verkehr,Mobilili und der UmweltTiger
Wirtschaft,Customer Discovery 1 / 2020
Kultur,19|20|17
Kultur,Filmfestival
Kultur,BERLIN NEU(N) NULL
Wirtschaft,Coaching2
Wirtschaft,Coaching1
Wirtschaft,"Systematische Untersuchung des nicht ordnungsgemäßen Betriebs von PIDs für verschiedene Umweltbedingungen, Lokalisation von Schwachstellen im Aufbau und Erarbeitung von Maßnahmen zur Ergänzung oder Substitution relevanter Komponenten"
Verbraucherschutz,"""Ackern schafft Integration - Pilotierung und Konsolidierung des innovativen Bildungsprogramms ""GemüseAckerdemie"" an Schulden in sozialen Brennpunkten in Berlin"""
Wirtschaft,AINN@acs-plus: Kompetenzaufbau im Bereich von künstlicher Intelligenz und Neuronalen Netzen und Einsatz in Pilotprojekten
Arbeit,ACT - gemeinsam neue Wege gehen
Kultur,Ein Stück Frieden
Kultur,"Heimat, Utopia und andere Orte…"
Kultur,Durchführung von Theaterprojektwochen
Kultur,"Theaterprojektwoche ""Theatrale Erkundung und Sensibilisierung für Gefühlsthemen"""
Kultur,Theaterprojektwoche
Stadtentwicklung,Resonanz
Stadtentwicklung,Resonanz - Qualität durch gelingende Beziehungsgestaltung
Wirtschaft,Integration & Vermarktung Industrie-Standard für digitale Einzigartigkeit / Uniqueness Ecosystem
Kultur,Kunstprojekt Dezentrale Kulturarbeit / 48h NK
Kultur,Kulturförderung
Wirtschaft,Teilnahme an der Gamescom in Köln 22.8.2018 - 25.8.2018
Verkehr,"ÖPNV, Fahrrad, Auto -VS - Aktionstage auf BVG Betriebshöfen"
Verkehr,Mit dem Bike uns zu Fuß sicher Unterwegs
Verkehr,Mit dem Bike und zu Fuß sicher unterwegs
Wirtschaft,Wachstum mit Schwerpunkt Internationalisierung
Wirtschaft,Entwicklung und Implementierung eines KI basierten Systems im Bereich AdTech für Facebook Ads
Bildung,Pädagogisches Trickfilmprojekt für Grundschüler für ein nachhaltiges Transportsystem
Umwelt,Lastenrad für Berlin-Friedrichshagen
Verkehr,ADFC Sommer und Herbst-Checks 2020
Verkehr,ADFC: Frühlings- und Herbstchecks
Verkehr,Fahrrad-Sicherheitschecks
Arbeit,"Qualifizierung zum/zur Theaterpädagog_in mit interkuktureller Kompetenz, Schwerpunkt internationale Beziehungen"
Arbeit,"Qualifizierung zum/zur Theaterpädagog_in mit nterkultureller Kompetenz, Schwerpunkt internationale Beziehungen"
Wirtschaft,"»Signaletik App« Web-Applikation zur Planung, Verwaltung und Nutzung von Leit- und Orientierungssystemen in Krankenhäusern"
Wirtschaft,"»Briefing App« Interaktives Planungstool für Kommunikationsmaßnahmen im Bereich Corporate Design, Informationsdesign und Signaletik"
Wirtschaft,Beräumung Gewerbefläche Flurstück 6024 und Rückbau des Gebäude 2.1
Wirtschaft,Beräumung Gewerbeflächen Teilfläche ehemaliger Kohlebahnhof - A - 1900 -
Wirtschaft,Beräumung und Erschließung des Gewerbegebietes Gleislinse in Berlin-Schöneweide
Wirtschaft,Errichtung eines Kältenah- und Notstromverbundes zwischen Häusern des Innovations- und Gründerzentrums (IGZ) auf dem Campus Berlin-Buch
Wirtschaft,Beräumung Gewerbeflächen Flurstück 7395 und 7397 - A 1903
Kultur,Bühnenprogramm Adlershofer Herbstfest
Kultur,Kinderfest zum Adlershofer Herbstfest
Kultur,Unterstützung Adlershofer Herbstfest
Kultur,Herbstfest in Adlershof Bühnenprogramm
Stadtentwicklung,Erneuerung der Gedenktafel für das Zwangsarbeiterlager an der KGA Adlergestell
Stadtentwicklung,Informationstafel des Ortschronisten auf dem Friedhof Adlershof
Arbeit,Landeszuschuss für KMU - Lohnkostenzuschuss für ADMOS Gleitlager GmbH
Arbeit,Lohnkostenzuschuss für ADMOS Gleitlager GmbH
Wirtschaft,Laserassistierte Beschichtungstechnologie für nachhaltige Gleitlager als effizienter Ersatz des Schleudergussverfahrens zur Reduktion des Schwermetallgehalts in Lagerbronzen
Wirtschaft,Evaluierung von Auswirkungen der Entwicklung einer datengetriebenen Plattform auf den Vertrieb von Desinfektionsmittelspendern für den B2B-Markt
Wirtschaft,"digital marketing exposition & conference (dmexco) 2016, vom 14.09. - 15.09.2016 in Köln"
Wirtschaft,Entwicklung und Markteinführung algorithmischer hochperformanter Lösungen für die AMP_41
Wirtschaft,Erforschung algorithmischer hochperformanter Lösungen für die AMP_40
Gesundheit,Suchthilfeprojekt NOKTA für Menschen aus verrschiedenen Kulturen
Gesundheit,Suchthilfeprojekt NOKTA für Menschen aus verschiedenen Kulturen
Wirtschaft,Aufbau und Konfiguration eines dedizierten CRMs zur Endkundenkommunikation für die Mittelstandskunden von advalyze
Wirtschaft,advanced AUDIENCE Al
Wirtschaft,advanced AUDIENCE DAP
Soziales,Suppenküche im Adventhaus Zehlendorf in der Zeit von 01.01.-31.03. und 01.11.-31.12.2019
Soziales,Suppenküche im Adventhaus Zehlendorf in der Zeit von 01.01.-31.03. und 01.12.-31.12.2020
Soziales,Kältehilfe; Suppenküche im Adventhaus Zehlendorf in der Zeit von November bis März
Soziales,Kältehilfe; Suppenküche im Adventhaus Zehlendorf in der Zeit von 01.01.-31.03. und 01.11.-31.12.2018
Sport,Kauf eines Segelflugzeuges
Wirtschaft,AX Automated News
Bildung,Beschaffung von Lernmitteln für die Schüler/inenn
Bildung,Beschaffung von Lernmitteln
Wirtschaft,"117. Kongress DOG 2019, Berlin 26.9. - 29.9.2019"
Wirtschaft,"31. Internationale Kongress DOC, Nürnberg, 23.5.-25.5.2019"
Wirtschaft,"AAD 2019 -Kongress für Augenärzte, Jena,12.3. - 16.3.2019"
Wirtschaft,"DOC 32.Internationaler Kongress der Deutschen Ophthalmochirurgen Nürnberg, 17.06.-19.06.2021"
Wirtschaft,In Afrika nichts Neues? Das Verhältnis zum Westen aus afrikanischen Perspektiven
Wirtschaft,Angekommen in Berlin und nun? Flucht und Migration aus afrikanischen Perspektiven
Wirtschaft,Zukunft gestalten: afrikanische Perspektiven in entwicklungs- und bildungspolitischen Kontexten
Wirtschaft,„Unsere Zahl ist unsere Stärke“ – Junge Demokratiebewegungen in Afrika
Wirtschaft,Fluchtursachen neu betrachten – Afrikanische Perspektiven auf das „Flüchtlingsproblem“
Jugend,Demokratie leben Fest der Kulturen
Jugend,Demokratie leben Flucht nach vorn
Familie,Bundesprogramm Demokratie leben Fest der Kulturen
Familie,Kofi Bundesprogramm Demokratie leben Fest der Kulturen
Integration,Migration im Fokus (Integrationsfonds)
Wirtschaft,AfrikaVorbilder
Wirtschaft,KENAKO Afrika-Festival 2017: „Afrika 4.0“
Wirtschaft,KENAKO Afrika Festival 2018: „Konsum & Verantwortung“
Wirtschaft,Migration im Fokus – Veranstaltungsreihe und Ausstellung
Wirtschaft,KENAKO Afrika Festival 2019 „Afrika im globalen Kontext“
Wirtschaft,"KENAKO Afrika Festival 2020: ""Errungenschaften Afrikas"""
Wirtschaft,SDGs - und jetzt?: Wanderausstellung und Aktionsreihe zu SDGs auf Festivals
Wirtschaft,KENAKO Afrika Festival 2016: „Perspektiven vor Ort“
Sport,Teilhabeprogramm / Projekt zur Integration von Migrantinnen und Migranten in den Berlin Sport
Wirtschaft,African Perspektiv
Wirtschaft,Annäherung durch Dialog
Wirtschaft,Frieden und Entwicklung in Afrika im Spannungsfeld zwischen Religion und Politik
Wirtschaft,"Kamerun 2035 – Vereint, stabil, friedlich?"
Wirtschaft,Kamerun - Auf dem Weg zu einer dritten Republik?
Wirtschaft,Frieden und Entwicklung in der Sahel-Region
Wirtschaft,Burkinafrique - afrikanische Perspektiven auf Frieden und Entwicklung
Bildung,Interkulturelles Lernen/globales Lernen
Bildung,"""Berliner Afro-Kinder und -Jugendliche auf der Suche nach Identität und Berufschancen"""
Bildung,Die Berliner Kongokonferenz und die Aufteilung Afrikas
Kultur,Sondermittel der BVV
Kultur,Heimatgefühle (AT)
Kultur,Lumen - Amen
Integration,Medienwerkstatt - Strukturfestigung
"Bürgerschaftliches Engagement, Bürgerbeteiligung",Medienwerkstatt Verstetigung
Soziales,Integriertes Stadtteilverfahren für die Großsiedlung Waldsassener Straße
Stadtentwicklung,"Aktionsfonds 2017, Beteiligung und Vernetzung"
Wirtschaft,AG5 Skills
Bildung,"""GESCHLECHT, GEWALT, GENOZID: Frauen im Völkermord; Vortrags- und Diskussionsreihe in Berlin"""
Integration,Integration geflüchteter Menschen
Bildung,Unterstützung der Jugendverkehrsschulen
Arbeit,agens Jobcoaching 2016
Arbeit,Ambrosiajäger
Arbeit,Anleiter soziales Schreibbüro
Arbeit,Berliner JobCoaching - agens Jobcoaching
Arbeit,Berliner Jobcoaching für geflüchtete Menschen in Beschäftigungsmaßnahmen (BJC FiB)
Arbeit,Betreuungsassistenz für Ältere und Menschen mit Behinderung – Modul Ersthelferschulung
Arbeit,Erweiterung des Angebots der Jugendverkehrsschulen in Charlottenburg-Wilmersdorf
Arbeit,FAV - Beliebte Plätze in Reinickendorf-barrierefrei
Arbeit,FAV - Freizeit- und Veranstaltungsunterstützer Reinickendorf
Arbeit,FAV - Grüne Hauptwege - barrierefrei (Tempelhof-Schöneberg)
Arbeit,FAV - Grüne Hauptwege in Friedrichshain-Kreuzberg barrierefrei
Arbeit,FAV - Grüne Hauptwege in Spandau barrierefrei (2)
Arbeit,FAV - Interkulturelles Kompetenzzentrum
Arbeit,FAV - Lese-Lust (Reinickendorf)
Arbeit,FAV - Saubere Reinickendorfer Friedhöfe
Arbeit,FAV - Sauberes Reinickendorf Nord
Arbeit,FAV - Sauberes Reinickendorf Ost
Arbeit,FAV - Unterstützung der Jugendverkehrsschulen 2 (Charlottenburg-Wilmersdorf)
Arbeit,FAV - Unterstützung der Jugendverkehrsschulung (0615)
Arbeit,FAV - Wegweiser für Menschen mit Behinderung (TSch)
Arbeit,Gepflegte Friedhofsanlagen
Arbeit,Geprüfte Betreuungsfachkraft gemäß Richtlinien nach § 87b Abs. 3 SGB XI
Arbeit,Grüne Hauptwege in Mitte - barrierefrei
Arbeit,Interkulturelles Kompetenzzentrum Neukölln
Arbeit,Lese-Lust
Arbeit,Pflegebasiskurs mit beruflichem Praktikum und Prüfung zum/zur Pflegehelfer/in
Arbeit,saubere Friedhöfe in Reinickendorf
Arbeit,sauberes Reinickendorf
Arbeit,sauberes Tempelhof-Schöneberg
Arbeit,soziale Bücherbörse
Arbeit,soziales Schreibbüro
Arbeit,Soziales Schreibbüro - Einführung
Arbeit,Wach- und Sicherheitsgewerbe - Vorbereitung auf die Sachkundeprüfung § 34a
Arbeit,agens Jobcoaching ögB 2017
Arbeit,Berliner Jobcoaching für geflüchtete Menschen in Beschäftigungsmaßnahmen
Arbeit,"Datenerhebungen zum Thema Gesundheit, Kultur und Sport"
Arbeit,Digitalisierung von Fotonachlassen
Arbeit,EGZ Projektassistenz
Arbeit,Freizeit- und Veranstaltungsunterstützer Reinickendorf
Arbeit,Freizeitangebote und Seniorenbesuchsdienst
Arbeit,Geprüfte Betreuungsfachkraft gemäß Richtlinien nach § 53c (§ 87b a.F.) SGB XI
Arbeit,Grüne Hauptwege in Friedrichshain-Kreuzberg barrierefrei
Arbeit,Grüne Hauptwege in Spandau barrierefrei (2)
Arbeit,Helfer im gewerblich-technischen Bereich
Arbeit,Interkulturelles Kompetenzzentrum
Arbeit,Mobilität schafft Inklusion
Arbeit,Saubere Reinickendorfer Friedhöfe
Arbeit,Sauberes Reinickendorf Ost
Arbeit,Wegweiser für Menschen mit Behinderung (TSch)
Arbeit,Wegweiser für Menschen mit Behinderungen Friedrichshain-Kreuzberg-barrierefrei
Arbeit,Zielgruppen orientierte Lernangebote in den Jugendverkehrsschulen
Arbeit,agens BJC-ögB 2018
Arbeit,Antragshilfe in Tempelhof-Schöneberg
Arbeit,Barrierefreie Beherbergungsbetriebe
Arbeit,Beschäftigungstrainer agens 2018
Arbeit,Digitalisierung historischer IHK Akten
Arbeit,Gepflegte Friedhöfe in Mitte
Arbeit,Gepflegte Friedhofsanlagen in Reinickendorf
Arbeit,Gepflegte Grünflächen in Reinickendorf
Arbeit,Interkulturelle Sprachmittlung und Begleitdienst
Arbeit,Jobcoaching
Arbeit,Naturschutz und saubere Gewässer
Arbeit,Saubere Friedhöfe und Spielplätze
Arbeit,Saubere Grünanlagen
Arbeit,Unterstützung von zusätzlichen Lernangeboten in den Jugendverkehrsschulen
Arbeit,Vorlesedienst in Mitte
Arbeit,Vorleseservice für Senioren in Reinickendorf
Arbeit,agens BJC 2019
Arbeit,Beschäftigungstrainer agens 2019
Arbeit,Beschäftigungstrainer II agens 2019
Arbeit,Ausstellungs- und Veranstaltungshelfer
Arbeit,Begleitservice und Freizeitangebote für Senioren in Charlottenburg-Wilmersdorf
Arbeit,Begleitservice und Freizeitangebote für Senioren in Spandau
Arbeit,Datenerhebungen - Barrierefreiheit in Pankow
Arbeit,Erfassung und Aufbereitung historischer Dokumente - Landesarchiv Berlin
Arbeit,Erfassung und Aufbereitung historischer Dokumente - Landesarchiv Berlin 2
Arbeit,Erfassung und Aufbereitung historischer Dokumente - Landesarchiv Berlin 3
Arbeit,Erfassung und Aufbereitung historischer Dokumente - Landesarchiv Berlin 4
Arbeit,Erfassung und Aufbereitung historischer Dokumente - Zitadelle Spandau
Arbeit,Erfassung und Aufbereitung historischer Dokumente in Charlottenburg-Wilmersdorf
Arbeit,Gepflegte Grünanlagen im Freizeitpark
Arbeit,Gepflegte Grünanlagen in Mitte
Arbeit,Gepflegte Grünanlagen in Reinickendorf
Arbeit,"Gepflegte Grünanlagen, Friedhöfe und Spielplätze"
Arbeit,Jugendverkehrsschulen
Arbeit,Mobiles soziales Schreibbüro in Charlottenburg-Wilmersdorf
Arbeit,Naturschutz an Gewässern und im Straßenbegleitgrün
Arbeit,Soziales Schreibbüro in Mitte
Arbeit,Soziales Schreibbüro in Tempelhof-Schöneberg
Arbeit,Sozialwerkstatt und Mobiles Handwerk Spandau
Arbeit,Vorlesedienste in Mitte
Arbeit,Waldpflege - Naherholungsgebiete in Pankow
Arbeit,agens BJC 2020
Arbeit,Beschäftigungstrainer agens 2020
Arbeit,Soziales Schreibbüro
Arbeit,Datenerhebungen - Barrierefreiheit in Treptow-Köpenick
Arbeit,Vorlesedienste für Mobilitätseingeschränkte und Senioren
Integration,Unterstützung geflüchteter Kinder in den Jugendverkehrsschulen
Bildung,Zeitzeug*innen-Interviews Lernort Keibelstraße
Bildung,Ausbau der Lernmodule am Lernort Keibelstraße
Bildung,"""Anders Leben. Ein Werkstattgespräch zu nichtkonformen Lebensentwürfen und Kriminalisierung von Frauen in der DDR"""
Bildung,"""Sinti und Roma in Berlin-Präsenz, Diskriminierung und Verfolgung"""
Bildung,Lernort Keibelstraße
Bildung,Kolonialismus-Aufarbeitung und Erinnerung in Berlin
Bildung,Lernort Keibelstraße 2020
Bildung,"Werkstattgespräch ""Weibliche Devianzen in jugendlichen Subkulturen"""
Antidiskriminierung,Webbasiertes Quellen-Informations-Portal zur LSBTI-Geschichte
Bildung,Lernort „ehemaliges Polizeigefängnis Keibelstraße“ 2018
Bildung,"Die Aktualität von Antiziganismus. Stereotype, Problemlagen und Gegenmaßnahmen"
Bildung,Queer History Month 2017
Bildung,Queer History Month
Kultur,Inhaltliche Erweiterung der Ausstellung im Lernort Keibelstraße
Arbeit,Lohnkostenzuschuss für aggreda GmbH
Integration,SeiFit Förderung der polnischen Community in Berlin zur erfolgreichen Integration am Arbeitsmarkt und mehr politische Partizipation in der Gesellschaft
Integration,Partizipations- und Integrationsprogramm
Bildung,"""PolMotion-Bewegung der polnischen Frauen-Mikroprojekte und Workshops"""
Integration,Seit Fit! Förderung der polnischen Community in Berlin zur erfolgreichen Integration am Arbeitsmarkt und zu mehr poltische Partizipation in der Gesellschaft
Kultur,Fellowship-Programm Weltoffenes Berlin
Bildung,Democratic Meme Factory
Bildung,PolMotion - Bewegung der polnischen Frauen
Kultur,Bestandsoptimierungsprogramm - anteilige Miete
Kultur,"Durchführung eines Projekts zur beruflichen Beratung, Unterstützung und Vernetzung von Professionellen Kunst-, Medien und Kulturschaffenden"
Stadtentwicklung,NATÜRliche Nachbarn
Integration,Du und ich Aufbruch in eine neue Zeit
Umwelt,naturnahe Pflege und Umweltbildung Landschaftspark Herzberge
Integration,Effekt Treibhaus / Chancen für ALLE
Jugend,Interkulturelle Begegnungen - Zukunft Mensch
Jugend,Jugendarbeit in der JFE Treibhaus
Kultur,Entwicklung und Weiterführung kultureller Veranstaltungen auf dem KulturGut Marzahn
Kultur,Geschichte des Kunsthauses Flora
Kultur,Kulturelle Höhepunkte auf den KulturGut im Dorf Marzahn- 14 Kulturveranstaltungen
Kultur,Kunsthaus Flora - Kulturelle Angebote im Grünen
Kultur,Sicherung und Weiterführung kultureller Veranstaltung im Kunsthaus Flora in 2016
Stadtentwicklung,So gesund isst unser Kiez
Stadtentwicklung,"Stabilisierung des Gartens der Begegnung ""Miteinander im Grünen"""
Integration,Masterplan für Integration
Jugend,Bunte Tour Marzahn
Jugend,Perspektive Respekt
Jugend,SpaceParade - Marzahn
Kultur,"Aufrechterhaltung, Lesungen und literarische VA in der Peter-Weiss-Bibliothek"
Kultur,Fortführung Jugendkunstschule nach Berliner Modell
Kultur,Kinderleicht Gesund
Kultur,Kulturelle Angebote im Grünen in 2017
Kultur,Kulturelle Höhepunkte auf dem KulturGut im Dorf Marzahn 2017
Kultur,KulturGut - Weiterführung Kultureller Angebote in 2017
Kultur,Kunsthaus Flora - Sicherung und Weiterführung der kulturellen Angebote in 2017
Kultur,Tarifanpassung
Stadtentwicklung,"Natur, Umwelt und Kreativität"
Stadtentwicklung,"Sicher durch das Quartier - Barrierefrei, sauber und hell"
Stadtentwicklung,Treffpunkt Garten
Jugend,Begleitung und Regie - Jugendforum Marzahn
Jugend,Bunte Tour Marzahn 2018 - Jetzt wird`s Kunterbunt
Jugend,Integration und Partnerschaft im Garten der Begegnung
Jugend,Jugendforum Marzahn
Jugend,Zukunft Achtsamkeit
Kultur,A Passion for JAZZ im KulturGut
Kultur,Aufrechterhaltung Dienstbetrieb Kunsthaus Flora 2018
Kultur,Aufrechterhaltung und Profilierung der kulturellen Angebote in der Peter-Weiss-Bibliothek
Kultur,Bienengarten
Kultur,Lesender Bezirk
Kultur,"Marzahn 2018 kulturelle und künstlerische Vielfalt auf, im und mit dem KulturGut"
Kultur,Zaungestaltung
Stadtentwicklung,"So gesund isst unser Kiez, Schlusszahlung zum VWN"
Stadtentwicklung,"Stabilisierung des Gartens der Begegnung ""Miteinander im Grünen"", Schlusszahlung zum VWN"
Kultur,Fortführung Dienstbetrieb Kunsthaus Flora 2019
Kultur,"Kultur und Kunst im Bezirk, KulturGut 2019"
Kultur,Marzahner Kultur- und Kulturerlebnistage 2019
Kultur,Marzahner singen auf dem Dorfanger Advents- und Weihnachtslieder
Kultur,Realisierung von Angeboten der Jugendkunstschule an den Standorten KulturGut und Kunsthaus Flora
Kultur,Stabilisierung kultureller Angebote im Bezirk durch die ehrenamtlich betriebene Peter-Weiss-Bibliothek
Kultur,30 Jahre kulturelle Angebote in der Peter-Weiss-Bibliothek 2020
Kultur,Ankauf von Medien für die Peter-Weiss-Bibliothek
Kultur,Fortführung Dienstbetrieb Kunsthaus Flora 2020
Kultur,"KulturGut Alt-Marzahn Ort kultureller, künstlerischer und kreativer Vielfalt"
Kultur,Marzahner Kultur- und Kulturerlebnistage 2020
Kultur,Schutz von Ehrenamtlichen und Besuchern bei der Arbeit im und um das KulturGut Alt Marzahn
Kultur,Wildwuchs - Umweltbildung im Bauerngarten
Stadtentwicklung,sicher sauber grün
Kultur,Kunstprojekt Dezentrale Kulturarbeit
Stadtentwicklung,Buntes Quartier: Neugestaltung Sonnencenter - Vorbereitung
Integration,Nachbarschaftliches Erzähl-Café im Leuchtturm
Stadtentwicklung,Buntes Quartier: Neugestaltung Sonnencenter - Umsetzung
Umwelt,Einrichtung einer bezirklichenKoordinierungsstelle für Natur- und Umweltbildung in Pankow
Stadtentwicklung,Rollberge-Aktiv im Kiez
Stadtentwicklung,miteinander lesen
Jugend,Rollberge Aktiv im Kiez (BVV-Sondermittel)
Stadtentwicklung,Gemeinsam im Park
Arbeit,Berliner JobCoaching - JobCoach Team 2 2015
Arbeit,Berliner JobCoaching - Jobcoach Team 3
Arbeit,Berliner JobCoaching - Jobcoach Team 4
Arbeit,Berliner JobCoaching - Jobcoach Team 5
Arbeit,Berliner JobCoaching - Jobcoaching 1 2016
Arbeit,Betreuung und Begleitung im Freizeitsport Reinickendorf 2016
Arbeit,"FAV - Aufarbeitung agrar-hist. Maschinen und Geräte, Spandau, 2015-2017"
Arbeit,FAV - Bürger- und Kieztreff Rollberge
Arbeit,FAV - Bürger- und Kieztreff Rollberge Team 2
Arbeit,FAV - Erhalt Wegesysteme und Landschaftsschutz Hahneberg
Arbeit,FAV - Holz- und Kreativwerkstatt
Arbeit,FAV - Kiezkontakte
Arbeit,FAV - Kiezläufer Letteplatz 2015
Arbeit,FAV - Kiezläufer Quartiersgebiet Letteplatz
Arbeit,FAV - Kultur gemeinsam erleben
Arbeit,FAV - Landschaftsentwicklung Gutspark Neu Kladow
Arbeit,FAV - Märchenstube Tempelhof 2015
Arbeit,FAV - Natur- und Kunstführer Spandau 2015-2017
Arbeit,FAV - Natur- und Umweltführer sowie Kunst im Freiraum Spandau
Arbeit,FAV - Natur- und Umweltschutz in Reinickendorf 2015
Arbeit,FAV - Natur- und Umweltschutz Reinickendorf
Arbeit,FAV - Natur- und Umweltschutz Reinickendorf 2015 Team 2
Arbeit,FAV - Soziale Bücherstube als Begegnungs- und Kommunikationsort
Arbeit,FAV - Soziale Selbsthilfewerkstatt und Nähstube 2015
Arbeit,FAV - Soziale Selbsthilfewerkstatt und Nähstube 2015 Team 2
Arbeit,FAV - Sportbetreuer 2015
Arbeit,"FAV - Sportbetreuer im Freizeitsport, Team 2"
Arbeit,FAV - Umweltbüro Friedrichshain-Kreuzberg
Arbeit,FAV - Umweltbüro und Umweltführer
Arbeit,Gesunde Ernährung
Arbeit,Holz- und Kreativwerkstatt
Arbeit,Interkulturelle Begegnungsstätte am Volkspark Friedrichshain
Arbeit,Jobcoaching 2 2016
Arbeit,Jobcoaching 3 2016
Arbeit,Jobcoaching 4 2016
Arbeit,MA Projektmanagement
Arbeit,Märchenkulissen und Requisiten
Arbeit,Märchenstube Neukölln
Arbeit,Nähstube und Selbsthilfewerkstatt
Arbeit,Reinickendorfer Beschäftigungswerkstatt 2016
Arbeit,Schüler am Weinberg
Arbeit,Team Natur- und Umweltschutz im Bezirk Reinickendorf
Arbeit,Team Rollberge
Arbeit,Tierhof Marzahn und IGA 2017
Arbeit,Unterstützung Veranstaltungsmanagement KulturGut
Arbeit,"Aufarbeitung agrar-hist. Maschinen und Geräte, Spandau, 2015-2017"
Arbeit,Ausstellungsservice Bezirksmuseum
Arbeit,Ausstellungsservice Galerie M
Arbeit,Baumbibliothek Landschaftspark Herzberge
Arbeit,Berliner Jobcoaching ögB Team 1 2015
Arbeit,Beschäftigungsinitiative und Selbsthilfewerkstatt Reinickendorf
Arbeit,"Botanische Küche, gesunde Ernährung für Kinder und Jugendliche"
Arbeit,Bürger- und Kieztreff Rollberge
Arbeit,Bürger- und Kieztreff Rollberge Team 2
Arbeit,Historische Handwerksschau
Arbeit,Historische Maschinen und Geräte
Arbeit,Jobcoaching 1 2017
Arbeit,Jobcoaching 2 2017
Arbeit,Jobcoaching 3 2017
Arbeit,Jobcoaching 4 2017
Arbeit,Kiezläufer Letteplatz 2015
Arbeit,Kulturelle Vielfalt gemeinsam Erleben
Arbeit,LSK Britzer WeinKultur - Neugestaltung Veranstaltungskomplex
Arbeit,LSK Lehrpfad am Umweltbüro Pankow
Arbeit,LSK Vom Bienenstaat zur Imkerei - Bienen-Aktivlehrpfad
Arbeit,Natur- und Kunst im Freiraum Spandau
Arbeit,Natur- und Kunstführer Spandau 2015-2017
Arbeit,Natur- und Landschaftsschutz auf kommunalen Grünflächen
Arbeit,Natur- und Umweltschutz in Reinickendorf 2015
Arbeit,Natur- und Umweltschutz Reinickendorf 2015 Team 2
Arbeit,PEB Lichtenberger Xylothek
Arbeit,Reparieren statt wegschmeißen
Arbeit,Schau- und Erlebniswelt Natur
Arbeit,Soziale Selbsthilfewerkstatt und Nähstube 2015
Arbeit,Soziale Selbsthilfewerkstatt und Nähstube 2015 Team 2
Arbeit,Sportbetreuer 2015
Arbeit,"Strandbad Rahnsdorf - Vergangenheit, Gegenwart und Zukunft"
Arbeit,Beschäftigungstrainer
Arbeit,Grünes Klassenzimmer
Arbeit,Jobcoaching 1 2018
Arbeit,Jobcoaching 2 2018
Arbeit,Jobcoaching 3 2018
Arbeit,Jobcoaching 4 2018
Arbeit,Keramik für alle
